"abad","1","Bahasa Batak Simalungun","Sumatera Utara"
"abadi","2","Bahasa Batak Simalungun","Sumatera Utara"
"abang","3","Bahasa Batak Simalungun","Sumatera Utara"
"acak","4","Bahasa Batak Simalungun","Sumatera Utara"
"acara","5","Bahasa Batak Simalungun","Sumatera Utara"
"acaranya","5","Bahasa Batak Simalungun","Sumatera Utara"
"ada","5","Bahasa Batak Simalungun","Sumatera Utara"
"adu","5","Bahasa Batak Simalungun","Sumatera Utara"
"agak","5","Bahasa Batak Simalungun","Sumatera Utara"
"agar","5","Bahasa Batak Simalungun","Sumatera Utara"
"air","5","Bahasa Batak Simalungun","Sumatera Utara"
"ajaran","5","Bahasa Batak Simalungun","Sumatera Utara"
"akal","5","Bahasa Batak Simalungun","Sumatera Utara"
"akan","5","Bahasa Batak Simalungun","Sumatera Utara"
"akar","5","Bahasa Batak Simalungun","Sumatera Utara"
"akhir","5","Bahasa Batak Simalungun","Sumatera Utara"
"akhirat","5","Bahasa Batak Simalungun","Sumatera Utara"
"akhirnya","5","Bahasa Batak Simalungun","Sumatera Utara"
"akibat","5","Bahasa Batak Simalungun","Sumatera Utara"
"aktif","5","Bahasa Batak Simalungun","Sumatera Utara"
"akun","5","Bahasa Batak Simalungun","Sumatera Utara"
"akur","5","Bahasa Batak Simalungun","Sumatera Utara"
"alam","5","Bahasa Batak Simalungun","Sumatera Utara"
"alamat","5","Bahasa Batak Simalungun","Sumatera Utara"
"aman","5","Bahasa Batak Simalungun","Sumatera Utara"
"amanah","5","Bahasa Batak Simalungun","Sumatera Utara"
"anak","5","Bahasa Batak Simalungun","Sumatera Utara"
"anak-anak","5","Bahasa Batak Simalungun","Sumatera Utara"
"anggota","5","Bahasa Batak Simalungun","Sumatera Utara"
"angsa","5","Bahasa Batak Simalungun","Sumatera Utara"
"anjing","5","Bahasa Batak Simalungun","Sumatera Utara"
"anting","5","Bahasa Batak Simalungun","Sumatera Utara"
"antri","5","Bahasa Batak Simalungun","Sumatera Utara"
"anugerah","5","Bahasa Batak Simalungun","Sumatera Utara"
"apa","5","Bahasa Batak Simalungun","Sumatera Utara"
"api","5","Bahasa Batak Simalungun","Sumatera Utara"
"asin","5","Bahasa Batak Simalungun","Sumatera Utara"
"asing","5","Bahasa Batak Simalungun","Sumatera Utara"
"asli","5","Bahasa Batak Simalungun","Sumatera Utara"
"aslinya","5","Bahasa Batak Simalungun","Sumatera Utara"
"asri","5","Bahasa Batak Simalungun","Sumatera Utara"
"asyik","5","Bahasa Batak Simalungun","Sumatera Utara"
"atap","5","Bahasa Batak Simalungun","Sumatera Utara"
"atas","5","Bahasa Batak Simalungun","Sumatera Utara"
"atlet","5","Bahasa Batak Simalungun","Sumatera Utara"
"awet","5","Bahasa Batak Simalungun","Sumatera Utara"
